Rk,Player,Tm,Pos,From,To,Active,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,G,A,PTS,S,OPS,DPS,PS
1,Valentin Zykov\zykovva01,CAR,LW,2016,2017,1,2,1,0,1,1,0,1,0,0,0,3,33.3,13,0.50,0.00,0.50,1.50,0.2,0.1,0.2
2,Jason Zucker\zuckeja01,MIN,LW,2015,2018,3,165,43,40,83,34,54,37,4,2,6,373,11.5,2589,0.26,0.24,0.50,2.26,6.6,4.1,10.7
3,Mats Zuccarello\zuccama01,NYR,RW,2015,2018,3,178,44,87,131,9,68,32,12,0,7,384,11.5,3330,0.25,0.49,0.74,2.16,10.2,3.5,13.7
4,Dainius Zubrus\zubruda01,SJS,C,2015,2016,1,50,3,4,7,4,20,3,0,0,0,33,9.1,579,0.06,0.08,0.14,0.66,-0.5,0.9,0.4
5,Harry Zolnierczyk\zolniha01,TOT,LW,2015,2017,2,25,2,2,4,-3,10,2,0,0,0,20,10.0,222,0.08,0.08,0.16,0.80,0.1,0.1,0.2
6,Marek Zidlicky\zidlima01,NYI,D,2015,2016,1,53,4,12,16,5,20,4,0,0,1,48,8.3,826,0.08,0.23,0.30,0.91,1.2,2.2,3.4
7,Mika Zibanejad\zibanmi01,TOT,C,2015,2018,3,154,43,63,106,0,34,30,11,2,10,354,12.1,2712,0.28,0.41,0.69,2.30,9.1,2.5,11.5
8,Henrik Zetterberg\zettehe01,DET,LW,2015,2018,3,181,34,95,129,-5,50,30,4,0,4,455,7.5,3545,0.19,0.52,0.71,2.51,8.2,4.2,12.4
9,Michael Zalewski\zalewmi01,VAN,LW,2015,2017,2,4,0,1,1,0,2,0,0,0,0,2,0.0,44,0.00,0.25,0.25,0.50,0.0,0.1,0.0
10,Travis Zajac\zajactr01,NJD,C,2015,2017,2,154,28,59,87,-5,58,13,12,3,3,237,11.8,3047,0.18,0.38,0.56,1.54,4.5,4.3,8.8
11,Nikita Zaitsev\zaitsni01,TOR,D,2016,2018,2,99,6,36,42,-18,50,5,1,0,0,118,5.1,2198,0.06,0.36,0.42,1.19,2.6,2.2,4.8
12,Nikita Zadorov\zadorni01,COL,D,2015,2018,3,88,1,13,14,-27,105,1,0,0,0,92,1.1,1612,0.01,0.15,0.16,1.05,-0.4,1.6,1.2
13,Pavel Zacha\zachapa01,NJD,C,2015,2018,3,85,10,20,30,-12,33,4,6,0,2,103,9.7,1224,0.12,0.24,0.35,1.21,1.0,1.2,2.2
14,Keith Yandle\yandlke01,TOT,D,2015,2018,3,178,12,83,95,-4,89,8,4,0,1,366,3.3,3772,0.07,0.47,0.53,2.06,7.2,7.2,14.5
